Date,SP500,Futures,Nikkei,FTSE,DAX
04/03/19,2873.4,2879.75,21713.21,7418.28,11954.4
04/04/19,2879.39,2882.75,21724.95,7401.94,11988.01
04/05/19,2892.74,2896,21807.5,7446.87,12009.75
04/08/19,2895.77,2898.25,21761.65,7451.89,11963.4
04/09/19,2878.2,2882.5,21802.59,7425.57,11850.57
04/10/19,2888.21,2894.5,21687.57,7421.91,11905.91
04/11/19,2888.32,2891.75,21711.38,7417.95,11935.2
04/12/19,2907.41,2912.5,21870.56,7437.06,11999.93
04/15/19,2905.58,2909.5,22169.11,7436.87,12020.28
04/16/19,2907.06,2911.5,22221.66,7469.92,12101.32
04/17/19,2900.45,2900.5,22277.97,7471.32,12153.07
04/18/19,2905.03,2910,22090.12,7459.88,12222.39
04/22/19,2907.97,2912.5,22217.9,,
04/23/19,2933.68,2938,22259.74,7523.07,12235.51
04/24/19,2927.25,2930.75,22200,7471.75,12313.16
04/25/19,2926.17,2926.25,22307.58,7434.13,12282.6
04/26/19,2939.88,2941.5,22258.73,7428.19,12315.18
04/29/19,2943.03,2943,,7440.66,12328.02
04/30/19,2945.83,2948.5,,7418.22,12344.08
05/01/19,2923.73,2923,,7385.26,
05/02/19,2917.52,2917.5,,7351.31,12345.42
05/03/19,2945.64,2947.5,,7380.64,12412.75
05/06/19,2932.47,2932.5,,,12286.88
05/07/19,2884.05,2890.75,21923.72,7260.47,12092.74
05/08/19,2879.42,2887.25,21602.59,7271,12179.93
05/09/19,2870.72,2872.75,21402.13,7207.41,11973.92
05/10/19,2881.4,2887,21344.92,7203.29,12059.83
05/13/19,2811.87,2807,21191.28,7163.68,11876.65
05/14/19,2834.41,2839.25,21067.23,7241.6,11991.62
05/15/19,2850.96,2855,21188.56,7296.95,12099.57
05/16/19,2876.32,2878.5,21062.98,7353.51,12310.37
05/17/19,2859.53,2862,21250.09,7348.62,12238.94
05/20/19,2840.23,2844,21301.73,7310.88,12041.29
05/21/19,2864.36,2866,21272.45,7328.92,12143.47
05/22/19,2856.27,2857.5,21283.37,7334.19,12168.74
05/23/19,2822.24,2819.5,21151.14,7231.04,11952.41
05/24/19,2826.06,2831.75,21117.22,7277.73,12011.04
05/28/19,2802.39,2805,21260.14,7268.95,12027.05
05/29/19,2783.02,2780,21003.37,7185.3,11837.81
05/30/19,2788.86,2790.5,20942.53,7218.16,11902.08
05/31/19,2752.06,2752.5,20601.19,7161.71,11726.84
06/03/19,2744.45,2749.5,20410.88,7184.8,11792.81
06/04/19,2803.27,2805,20408.54,7214.29,11971.17
06/05/19,2826.15,2827.75,20776.1,7220.22,11980.81
06/06/19,2843.49,2845.75,20774.04,7259.85,11953.14
06/07/19,2873.34,2875,20884.71,7331.94,12045.38
06/10/19,2886.73,2889.25,21134.42,7375.54,
06/11/19,2885.72,2887,21204.28,7398.45,12155.81
06/12/19,2879.84,2881,21129.72,7367.62,12115.68
06/13/19,2891.64,2894.5,21032,7368.57,12169.05
06/14/19,2886.98,2890.5,21116.89,7345.78,12096.4
06/17/19,2889.67,2892,21124,7357.31,12085.82
06/18/19,2917.75,2921.75,20972.71,7443.04,12331.75
06/19/19,2926.46,2929,21333.87,7403.54,12308.53
06/20/19,2954.18,2955.75,21462.86,7424.44,12355.39
06/21/19,2950.46,2953.9,21258.64,7407.5,12339.92
06/24/19,2945.35,2952,21285.99,7416.69,12274.57
06/25/19,2917.38,2922,21193.81,7422.43,12228.44
06/26/19,2913.78,2918,21086.59,7416.39,12245.32
06/27/19,2924.92,2931,21338.17,7402.33,12271.03
06/28/19,2941.76,2944.25,21275.92,7425.63,12398.8
07/01/19,2964.33,2967.75,21729.97,7497.5,12521.38
07/02/19,2973.01,2979.5,21754.27,7559.19,12526.72
07/03/19,2995.82,3000.25,21638.16,7609.32,12616.24
07/05/19,2990.41,2990.5,21746.38,7553.14,12568.53
07/08/19,2975.95,2978.5,21534.35,7549.27,12543.51
07/09/19,2979.63,2982,21565.15,7536.47,12436.55
07/10/19,2993.07,2997.5,21533.48,7530.69,12373.41
07/11/19,2999.91,3004,21643.53,7509.82,12332.12
07/12/19,3013.77,3015.5,21685.9,7505.97,12323.32
07/15/19,3014.3,3017.25,,7531.72,12387.34
07/16/19,3004.04,3007,21535.25,7577.2,12430.97
07/17/19,2984.42,2985,21469.18,7535.46,12341.03
07/18/19,2995.11,2997.5,21046.24,7493.09,12227.85
07/19/19,2976.61,2977,21466.99,7508.7,12260.07
07/22/19,2985.03,2989,21416.79,7514.93,12289.4
07/23/19,3005.47,3008,21620.88,7556.86,12490.74
07/24/19,3019.56,3021.5,21709.57,7501.46,12522.89
07/25/19,3003.67,3006.5,21756.55,7489.05,12362.1
07/26/19,3025.86,3024.5,21658.15,7549.06,12419.9
07/29/19,3020.97,3021.75,21616.8,7686.61,12417.47
07/30/19,3013.18,3012.25,21709.31,7646.77,12147.24
07/31/19,2980.38,2982.25,21521.53,7586.78,12189.04
08/01/19,2953.56,2952,21540.99,7584.87,12253.15
08/02/19,2932.05,2932.5,21087.16,7407.06,11872.44
08/05/19,2844.74,2830,20720.29,7223.85,11658.51
08/06/19,2881.77,2876,20585.31,7171.69,11567.96
08/07/19,2883.98,2880.5,20516.56,7198.7,11650.15
08/08/19,2938.09,2940,20593.35,7285.9,11845.41
08/09/19,2918.65,2919.75,20684.82,7253.85,11693.8
08/12/19,2883.09,2880.25,,7226.72,11679.68
08/13/19,2926.32,2932,20455.44,7250.9,11750.13
08/14/19,2840.6,2840.75,20655.13,7147.88,11492.66
08/15/19,2847.6,2848.5,20405.65,7067.01,11412.67
08/16/19,2888.68,2891.5,20418.81,7117.15,11562.74
08/19/19,2923.65,2923.75,20563.16,7189.65,11715.37
08/20/19,2900.51,2898.25,20677.22,7125,11651.18
08/21/19,2924.43,2929.25,20618.57,7203.97,11802.85
08/22/19,2922.95,2922.25,20628.01,7128.18,11747.04
08/23/19,2847.11,2855.5,20710.91,7094.98,11611.51
08/26/19,2878.38,2883.25,20261.04,,11658.04
08/27/19,2869.16,2865.5,20456.08,7089.58,11730.02
08/28/19,2887.94,2889.75,20479.42,7114.71,11701.02
08/29/19,2924.58,2926.75,20460.93,7184.32,11838.88
08/30/19,2926.46,2924.75,20704.37,7207.18,11939.28
09/03/19,2906.27,2906,20625.16,7268.19,11910.86
09/04/19,2937.78,2938.5,20649.14,7311.26,12025.04
09/05/19,2976,2972,21085.94,7271.17,12126.78
09/06/19,2978.71,2980.75,21199.57,7282.34,12191.73
09/09/19,2978.43,2978.25,21318.42,7235.81,12226.1
09/10/19,2979.39,2978.5,21392.1,7267.95,12268.71
09/11/19,3000.93,3002,21597.76,7338.03,12359.07
09/12/19,3009.57,3011.75,21759.61,7344.67,12410.25
09/13/19,3007.39,3006.5,21988.29,7367.46,12468.53
09/16/19,2997.96,2999,,7321.41,12380.31
