Date,SP500,Futures,Nikkei,FTSE,DAX
2025-04-02,5670.97,5512.0,35725.87,8608.48,22390.84
2025-04-01,5633.07,5674.5,35624.48,8634.8,22539.98
2025-03-31,5611.85,5653.25,35617.56,8582.81,22163.49
2025-03-28,5580.94,5623.0,37120.33,8658.85,22461.52
2025-03-27,5693.31,5739.25,37799.97,8666.12,22678.74
2025-03-26,5712.2,5759.5,38027.29,8689.59,22839.03
2025-03-25,5776.65,5826.5,37780.54,8663.8,23109.79
2025-03-24,5767.57,5815.5,37608.49,8638.01,22852.66
2025-03-21,5667.56,5718.25,37677.06,8646.79,22891.68
2025-03-20,5662.89,5712.75,,8701.99,22999.15
2025-03-19,5675.29,5729.75,37751.88,8706.66,23288.06
2025-03-18,5614.66,5669.25,37845.42,8705.23,23380.7
2025-03-17,5675.12,5732.25,37396.52,8680.29,23154.57
2025-03-14,5638.94,5692.25,37053.1,8632.33,22986.82
2025-03-13,5521.52,5578.25,36790.03,8542.56,22567.14
2025-03-12,5599.3,5656.5,36819.09,8540.97,22676.41
2025-03-11,5572.07,5628.0,36793.11,8495.99,22328.77
2025-03-10,5614.56,5620.75,37028.27,8600.22,22620.95
2025-03-07,5770.2,5776.0,36887.17,8679.88,23008.94
2025-03-06,5738.52,5746.25,37704.93,8682.84,23419.48
2025-03-05,5842.63,5851.25,37418.24,8755.84,23081.03
2025-03-04,5778.15,5789.5,37331.18,8759.0,22326.81
2025-03-03,5849.72,5860.75,37785.47,8871.31,23147.02
2025-02-28,5954.5,5963.25,37155.5,8809.74,22551.43
2025-02-27,5861.57,5876.25,38256.17,8756.21,22550.89
2025-02-26,5956.06,5970.75,38142.37,8731.46,22794.11
2025-02-25,5955.25,5970.0,38237.79,8668.67,22410.27
2025-02-24,5983.25,6000.75,,8658.98,22425.93
2025-02-21,6013.13,6029.0,38776.94,8659.37,22287.56
2025-02-20,6117.52,6136.5,38678.04,8662.97,22314.65
2025-02-19,6144.15,6163.0,39164.61,8712.53,22433.63
2025-02-18,6129.58,6146.75,39270.4,8766.73,22844.5
2025-02-14,6114.63,6132.0,39149.43,8732.46,22513.42
2025-02-13,6115.07,6135.25,39461.47,8764.72,22612.02
2025-02-12,6051.97,6072.75,38963.7,8807.44,22148.03
2025-02-11,6068.5,6092.25,,8777.39,22037.83
2025-02-10,6066.44,6088.75,38801.17,8767.8,21911.74
2025-02-07,6025.99,6049.5,38787.02,8700.53,21787.0
2025-02-06,6083.57,6106.0,39066.53,8727.28,21902.42
2025-02-05,6061.48,6086.5,38831.48,8623.29,21585.93
2025-02-04,6037.88,6063.0,38798.37,8570.77,21505.7
2025-02-03,5994.57,6022.25,38520.09,8583.56,21428.24
2025-01-31,6040.53,6067.25,39572.49,8673.96,21732.05
2025-01-30,6071.17,6099.25,39513.97,8646.88,21727.2
2025-01-29,6039.31,6067.5,39414.78,8557.81,21637.53
2025-01-28,6067.7,6097.0,39016.87,8533.87,21430.58
