"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","3,114.40","3,141.07","3,156.23","3,110.17","","0.15%"
"03/31/2025","3,109.75","3,166.36","3,166.36","3,105.33","","-3.48%"
"03/28/2025","3,221.82","3,239.22","3,239.22","3,205.24","","-1.57%"
"03/27/2025","3,273.30","3,252.19","3,273.30","3,243.63","","-0.04%"
"03/26/2025","3,274.61","3,272.94","3,287.11","3,262.17","","0.69%"
"03/25/2025","3,252.08","3,258.99","3,265.90","3,242.99","","0.58%"
"03/24/2025","3,233.38","3,251.75","3,253.85","3,233.38","","-0.38%"
"03/21/2025","3,245.59","3,242.93","3,263.77","3,242.93","","2.53%"
"03/07/2025","3,165.46","3,182.67","3,186.72","3,159.60","","-1.64%"
"03/06/2025","3,218.27","3,222.27","3,231.52","3,211.29","","0.32%"
"03/05/2025","3,208.11","3,218.71","3,223.16","3,196.43","","0.12%"
"03/04/2025","3,204.16","3,208.43","3,214.36","3,173.84","","-0.62%"
"03/03/2025","3,224.23","3,218.02","3,226.44","3,190.30","","1.41%"
"02/28/2025","3,179.50","3,232.91","3,236.61","3,160.16","","-2.58%"
"02/27/2025","3,263.64","3,264.35","3,269.08","3,249.91","","0.22%"
"02/26/2025","3,256.56","3,263.84","3,265.10","3,232.34","","-0.35%"
"02/25/2025","3,267.95","3,269.75","3,281.09","3,259.11","","-0.88%"
"02/21/2025","3,297.10","3,278.32","3,297.59","3,274.45","","0.34%"
"02/20/2025","3,285.86","3,305.65","3,306.23","3,272.15","","-1.31%"
"02/19/2025","3,329.54","3,329.06","3,331.96","3,310.68","","-0.26%"
"02/18/2025","3,338.38","3,336.58","3,354.38","3,333.72","","0.13%"
"02/17/2025","3,334.18","3,327.52","3,345.63","3,327.36","","0.23%"
"02/14/2025","3,326.51","3,349.97","3,353.26","3,326.51","","-0.74%"
"02/13/2025","3,351.31","3,340.51","3,358.30","3,332.51","","0.82%"
"02/12/2025","3,324.21","3,324.24","3,329.88","3,306.92","","0.29%"
"02/10/2025","3,314.54","3,302.93","3,322.46","3,299.77","","0.11%"
"02/07/2025","3,310.97","3,322.09","3,330.83","3,309.54","","-0.54%"
"02/06/2025","3,329.09","3,320.71","3,337.61","3,315.31","","0.73%"
