Date,Price,Open,High,Low,Vol.,Change +ACU-
04/03/2025,5494.75,5512,5564,5455.5,1.58M,+AC0-0.31+ACU-
04/02/2025,5512,5512,5773.25,5483,104.28K,+AC0-2.86+ACU-
04/01/2025,5674.5,5644.25,5694.75,5600.25,1.87M,0.38+ACU-
03/31/2025,5653.25,5590,5672.75,5533.75,2.23M,0.54+ACU-
03/28/2025,5623,5741.75,5747.75,5602.25,1.91M,+AC0-2.03+ACU-
03/27/2025,5739.25,5737.25,5779.75,5720,1.58M,+AC0-0.35+ACU-
03/26/2025,5759.5,5831,5836.5,5743,1.48M,+AC0-1.15+ACU-
03/25/2025,5826.5,5813,5837.25,5802.25,1.08M,0.19+ACU-
03/24/2025,5815.5,5740,5825.5,5739,1.40M,1.70+ACU-
03/21/2025,5718.25,5715.25,5723.75,5651.25,1.63M,0.10+ACU-
03/20/2025,5712.75,5731.75,5765.25,5682.5,1.73M,+AC0-0.30+ACU-
03/19/2025,5729.75,5670.5,5770.5,5657.5,1.75M,1.07+ACU-
03/18/2025,5669.25,5731.5,5738.25,5650.75,1.87M,+AC0-1.10+ACU-
03/17/2025,5732.25,5678.75,5759.75,5651.5,2.10M,0.70+ACU-
03/14/2025,5692.25,5590.25,5700.75,5589.5,796.17K,2.04+ACU-
03/13/2025,5578.25,5650.5,5674.75,5559.75,354.15K,+AC0-1.38+ACU-
03/12/2025,5656.5,5631,5726.75,5601.75,161.74K,0.51+ACU-
03/11/2025,5628,5674.5,5703.5,5584.75,142.06K,0.13+ACU-
03/10/2025,5620.75,5753,5757.75,5571.5,2.59M,+AC0-2.69+ACU-
03/07/2025,5776,5766,5791,5673,2.32M,0.52+ACU-
03/06/2025,5746.25,5844.75,5853.5,5720,2.55M,+AC0-1.79+ACU-
03/05/2025,5851.25,5832,5869.5,5750.75,2.28M,1.07+ACU-
03/04/2025,5789.5,5874,5884,5744,3.35M,+AC0-1.22+ACU-
03/03/2025,5860.75,5967.5,6000.5,5821.75,2.61M,+AC0-1.72+ACU-
02/28/2025,5963.25,5883,5971,5848,2.78M,1.48+ACU-
02/27/2025,5876.25,5980,6014.5,5873,2.58M,+AC0-1.58+ACU-
02/26/2025,5970.75,5982,6023.75,5945.5,1.90M,0.01+ACU-
02/25/2025,5970,6006.5,6016,5924,2.22M,+AC0-0.51+ACU-
02/24/2025,6000.75,6040.75,6067.5,5994.5,1.80M,+AC0-0.47+ACU-
02/21/2025,6029,6132.5,6142.5,6024.5,1.94M,+AC0-1.75+ACU-
02/20/2025,6136.5,6153.75,6159.5,6102.75,1.41M,+AC0-0.43+ACU-
02/19/2025,6163,6143.75,6166.5,6129.25,1.08M,0.26+ACU-
02/18/2025,6146.75,6138.25,6157.75,6118.25,1.20M,0.24+ACU-
02/14/2025,6132,6131.75,6146.75,6121.25,1.02M,+AC0-0.05+ACU-
02/13/2025,6135.25,6079.75,6138,6053.5,1.52M,1.03+ACU-
02/12/2025,6072.75,6090.75,6098,6020.75,1.56M,+AC0-0.32+ACU-
02/11/2025,6092.25,6085.5,6098.75,6057.75,1.02M,0.06+ACU-
02/10/2025,6088.75,6016,6096,6014,1.01M,0.65+ACU-
02/07/2025,6049.5,6089.75,6123.25,6041.25,1.68M,+AC0-0.93+ACU-
02/06/2025,6106,6090.25,6108.5,6070,1.18M,0.32+ACU-
02/05/2025,6086.5,6042.75,6092,6020.25,1.22M,0.39+ACU-
02/04/2025,6063,6069,6069,5987,1.33M,0.68+ACU-
02/03/2025,6022.25,5982.25,6062,5935.5,2.31M,+AC0-0.74+ACU-
01/31/2025,6067.25,6106,6147.75,6057.75,1.87M,+AC0-0.52+ACU-
01/30/2025,6099.25,6068.5,6116.25,6056.5,1.61M,0.52+ACU-
01/29/2025,6067.5,6090.75,6111.5,6042.25,1.55M,+AC0-0.48+ACU-
01/28/2025,6097,6059.5,6105.5,6023.5,1.59M,0.83+ACU-
01/27/2025,6046.75,6102.25,6105.25,5948,2.39M,+AC0-1.41+ACU-
01/24/2025,6133.25,6148,6162.25,6122,1.25M,+AC0-0.30+ACU-
01/23/2025,6152,6120,6154,6101.5,1.14M,0.51+ACU-
01/22/2025,6120.5,6094,6135.75,6087,1.25M,0.60+ACU-
01/21/2025,6084.25,6032.25,6093.25,5994.5,1.73M,0.84+ACU-
01/17/2025,6033.5,5970.25,6051.5,5968,1.42M,0.97+ACU-
01/16/2025,5975.5,5988.5,6017.5,5961.75,1.57M,+AC0-0.23+ACU-
01/15/2025,5989,5891.5,6001.25,5879.5,1.66M,1.81+ACU-
01/14/2025,5882.25,5887.25,5918.5,5842.5,1.84M,0.13+ACU-
01/13/2025,5874.5,5864.5,5883.25,5809,1.76M,0.14+ACU-
01/10/2025,5866.25,5943.75,5959.25,5845.25,2.13M,+AC0-1.32+ACU-
01/09/2025,5944.75,5955,5957,5929.25,113.83K,+AC0-0.24+ACU-
01/08/2025,5959.25,5955.5,5975,5917,1.76M,0.08+ACU-
01/07/2025,5954.25,6028,6045.5,5935,1.77M,+AC0-1.10+ACU-
01/06/2025,6020.5,5994.5,6068.25,5980.75,1.55M,0.52+ACU-
01/03/2025,5989.5,5921,5996.75,5911.25,1.21M,1.23+ACU-
01/02/2025,5916.5,5949.25,5995.25,5874.75,1.83M,+AC0-0.32+ACU-
12/31/2024,5935.75,5955,5983.25,5917.25,1.38M,+AC0-0.39+ACU-
12/30/2024,5958.75,6028.75,6036.25,5918.25,1.58M,+AC0-1.13+ACU-
12/27/2024,6027,6092,6095.25,5982.75,1.64M,+AC0-1.12+ACU-
12/26/2024,6095.25,6099.25,6107.5,6063.25,911.49K,+AC0-0.05+ACU-
