Date,Price,Open,High,Low,Vol.,Change +ACU-
03/04/2025,8471.34,8490.78,8533.41,8452.93,1.40B,+AC0-1.59+ACU-
02/04/2025,8608.48,8634.8,8634.8,8548.32,600.63M,+AC0-0.30+ACU-
01/04/2025,8634.8,8582.81,8671.91,8581.91,682.39M,0.61+ACU-
31/03/2025,8582.81,8658.85,8658.88,8530.98,923.24M,+AC0-0.88+ACU-
28/03/2025,8658.85,8666.12,8694.19,8636.92,746.96M,+AC0-0.08+ACU-
27/03/2025,8666.12,8689.59,8689.7,8611.42,702.85M,+AC0-0.27+ACU-
26/03/2025,8689.59,8663.8,8714.81,8656.39,703.01M,0.30+ACU-
25/03/2025,8663.8,8638.01,8717.03,8638.01,1.02B,0.30+ACU-
24/03/2025,8638.01,8646.79,8695.6,8616.42,616.03M,+AC0-0.10+ACU-
21/03/2025,8646.79,8701.99,8701.99,8615.96,1.91B,+AC0-0.63+ACU-
20/03/2025,8701.99,8706.66,8742.75,8665.26,886.65M,+AC0-0.05+ACU-
19/03/2025,8706.66,8705.23,8718.74,8662.56,823.55M,0.02+ACU-
18/03/2025,8705.23,8680.29,8726.95,8680.29,1.11B,0.29+ACU-
17/03/2025,8680.29,8632.33,8688.41,8625.04,842.70M,0.56+ACU-
14/03/2025,8632.33,8542.56,8642.79,8538.07,750.19M,1.05+ACU-
13/03/2025,8542.56,8540.97,8581.57,8513.65,767.96M,0.02+ACU-
12/03/2025,8540.97,8495.99,8565.45,8495.99,974.80M,0.53+ACU-
11/03/2025,8495.99,8600.22,8603.93,8481.11,1.04B,+AC0-1.21+ACU-
10/03/2025,8600.22,8679.88,8700.79,8591.58,1.52B,+AC0-0.92+ACU-
07/03/2025,8679.88,8682.84,8701.31,8627.3,900.63M,+AC0-0.03+ACU-
06/03/2025,8682.84,8755.84,8778.19,8645.84,1.03B,+AC0-0.83+ACU-
05/03/2025,8755.84,8759,8835.72,8752.46,1.24B,+AC0-0.04+ACU-
04/03/2025,8759,8871.31,8873.67,8746.01,1.07B,+AC0-1.27+ACU-
03/03/2025,8871.31,8809.74,8908.82,8809.74,1.23B,0.70+ACU-
