Date,Price,Open,High,Low,Vol.,Change +ACU-
04/03/2025,34735.93,35041.67,35044.73,34102,,+AC0-2.77+ACU-
04/02/2025,35725.87,35751.02,35778.9,35426.33,,0.28+ACU-
04/01/2025,35624.48,35961.19,36052.54,35537.86,,0.02+ACU-
03/31/2025,35617.56,36440.18,36440.18,35541.72,,+AC0-4.05+ACU-
03/28/2025,37120.33,37357.52,37359.95,36864.93,,+AC0-1.80+ACU-
03/27/2025,37799.97,37750.66,37859.06,37556.75,,+AC0-0.60+ACU-
03/26/2025,38027.29,38106.66,38220.69,37873.28,,0.65+ACU-
03/25/2025,37780.54,37953.15,38115.65,37686.26,,0.46+ACU-
03/24/2025,37608.49,37841.68,37841.68,37608.49,,+AC0-0.18+ACU-
03/21/2025,37677.06,37619.37,37968.02,37619.37,,+AC0-0.20+ACU-
03/19/2025,37751.88,37839.39,38128.58,37751.88,,+AC0-0.25+ACU-
03/18/2025,37845.42,37868.57,38004.2,37822.87,,1.20+ACU-
03/17/2025,37396.52,37453.83,37563.27,37377.55,,0.93+ACU-
03/14/2025,37053.1,36606.78,37154.39,36594.04,,0.72+ACU-
03/13/2025,36790.03,37081.64,37326.27,36776.94,,+AC0-0.08+ACU-
03/12/2025,36819.09,36763.1,36956.33,36658.86,,0.07+ACU-
03/11/2025,36793.11,36584.37,36793.11,35987.13,,+AC0-0.64+ACU-
03/10/2025,37028.27,36972.59,37113.48,36705.02,,0.38+ACU-
03/07/2025,36887.17,37198.3,37221.65,36813.62,,+AC0-2.17+ACU-
03/06/2025,37704.93,37654.95,37874.38,37580.88,,0.77+ACU-
03/05/2025,37418.24,37345.74,37606.34,37178.72,,0.23+ACU-
03/04/2025,37331.18,37532.01,37587.49,36816.16,,+AC0-1.20+ACU-
03/03/2025,37785.47,37617.5,37827.62,37372.26,,1.70+ACU-
02/28/2025,37155.5,37853.48,37925.28,36840.12,,+AC0-2.88+ACU-
02/27/2025,38256.17,38251.11,38369.96,38061.94,,0.30+ACU-
02/26/2025,38142.37,38143.68,38175.24,37742.76,,+AC0-0.25+ACU-
02/25/2025,38237.79,38359.67,38485.95,38131.79,,+AC0-1.39+ACU-
02/21/2025,38776.94,38523.07,38808.81,38456.53,,0.26+ACU-
